customer_id;company_name;contact_name;contact_title;address;city;region;postal_code;country;phone;fax
ALFKI;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;;12209;Germany;030-0074321;030-0076545
ANATR;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Mexico;;5021;Mexico;(5) 555-4729;(5) 555-3745
ANTON;Antonio Moreno Taquer�a;Antonio Moreno;Owner;Mataderos  2312;Mexico;;5023;Mexico;(5) 555-3932;
AROUT;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;;WA1 1DP;UK;(171) 555-7788;(171) 555-6750
BERGS;Berglunds snabbkop;Christina Berglund;Order Administrator;Berguvsvagen  8;Lulea;;S-958 22;Sweden;0921-12 34 65;0921-12 34 67
CHOPS;Chop-suey Chinese;Yang Wang;Owner;Hauptstr. 29;Bern;;3012;Switzerland;0452-076545;
COMMI;Comercio Mineiro;Pedro Afonso;Sales Associate;"Av. dos Lusiadas, 23";Sao Paulo;SP;05432-043;Brazil;(11) 555-7647;
CONSH;Consolidated Holdings;Elizabeth Brown;Sales Representative;Berkeley Gardens 12  Brewery;London;;WX1 6LT;UK;(171) 555-2282;(171) 555-9199
DRACD;Drachenblut Delikatessen;Sven Ottlieb;Order Administrator;Walserweg 21;Aachen;;52066;Germany;0241-039123;0241-059428
EASTC;Eastern Connection;Ann Devon;Sales Agent;35 King George;London;;WX3 6FW;UK;(171) 555-0297;(171) 555-3373
FOLIG;Folies gourmandes;Martine Rance;Assistant Sales Agent;"184, chaussee de Tournai";Lille;;59000;France;20.16.10.16;20.16.10.17
FOLKO;Folk och HB;Maria Larsson;Owner;Akergatan 24;Bracke;;S-844 67;Sweden;0695-34 67 21;
FRANK;Frankenversand;Peter Franken;Marketing Manager;Berliner Platz 43;Munchen;;80805;Germany;089-0877310;089-0877451
GOURL;Gourmet Lanchonetes;Andre Fonseca;Sales Associate;"Av. Brasil, 442";Campinas;SP;04876-786;Brazil;(11) 555-9482;
HUNGO;Hungry Owl All-Night Grocers;Patricia McKenna;Sales Associate;8 Johnstown Road;Cork;Co. Cork;;Ireland;2967 542;2967 3333
LAMAI;La maison d'Asie;Annette Roulet;Sales Manager;1 rue Alsace-Lorraine;Toulouse;;31000;France;61.77.61.10;61.77.61.11
LETSS;Let's Stop N Shop;Jaime Yorres;Owner;87 Polk St. Suite 5;San Francisco;CA;94117;USA;(415) 555-5938;
OLDWO;Old World Delicatessen;Rene Phillips;Sales Representative;2743 Bering St.;Anchorage;AK;99508;USA;(907) 555-7584;(907) 555-2880
PICCO;Piccolo und mehr;Georg Pipps;Sales Manager;Geislweg 14;Salzburg;;5020;Austria;6562-9722;6562-9723
RATTC;Rattlesnake Canyon Grocery;Paula Wilson;Assistant Sales Representative;2817 Milton Dr.;Albuquerque;NM;87110;USA;(505) 555-5939;(505) 555-3620
SAVEA;Save-a-lot Markets;Jose Pavarotti;Sales Representative;187 Suffolk Ln.;Boise;ID;83720;USA;(208) 555-8097;
TRADH;Tradicao Hipermercados;Anabela Domingues;Sales Representative;"Av. Ines de Castro, 414";Sao Paulo;SP;05634-030;Brazil;(11) 555-2167;(11) 555-2168
WELLI;Wellington Importadora;Paula Parente;Sales Manager;"Rua do Mercado, 12";Resende;SP;08737-363;Brazil;(14) 555-8122;
